term,pleasure,arousal,dominance
abduction,2.76,5.53,3.49
abortion,3.5,5.39,4.59
absurd,4.26,4.36,4.73
abundance,6.59,5.51,5.8
abuse,1.8,6.83,3.69
acceptance,7.98,5.4,6.64
accident,2.05,6.26,3.76
ace,6.88,5.5,6.39
ache,2.46,5.0,3.54
achievement,7.89,5.53,6.56
activate,5.46,4.86,5.43
addict,2.48,5.66,3.72
addicted,2.51,4.81,3.46
admired,7.74,6.11,7.53
adorable,7.81,5.12,5.74
adult,6.49,4.76,5.75
advantage,6.95,4.76,6.36
adventure,7.6,6.98,6.46
affection,8.39,6.21,6.08
afraid,2.0,6.67,3.98
aggressive,5.1,5.83,5.59
agility,6.46,4.85,5.87
agony,2.43,6.06,4.02
agreement,7.08,5.02,6.22
air,6.34,4.12,5.1
alcoholic,2.84,5.69,4.45
alert,6.2,6.85,5.96
alien,5.6,5.45,4.64
alimony,3.95,4.3,4.63
alive,7.25,5.5,6.39
allergy,3.07,4.64,3.21
alley,4.48,4.91,4.0
alone,2.41,4.83,3.7
aloof,4.9,4.28,4.69
ambition,7.04,5.61,6.93
ambulance,2.47,7.33,3.22
angel,7.53,4.83,4.97
anger,2.34,7.63,5.5
angry,2.85,7.17,5.55
anguished,2.12,5.33,3.45
ankle,5.27,4.16,4.77
annoy,2.74,6.49,5.09
answer,6.63,5.41,5.85
anxious,4.81,6.92,5.33
applause,7.5,5.8,6.48
appliance,5.1,4.05,5.05
arm,5.34,3.59,5.07
army,4.72,5.03,5.03
aroused,7.97,6.63,6.14
arrogant,3.69,5.65,5.14
art,6.68,4.86,5.3
assassin,3.09,6.28,4.33
assault,2.03,7.51,3.94
astonished,6.56,6.58,5.16
astronaut,6.66,5.28,5.2
athletics,6.61,6.1,6.12
autumn,6.3,4.51,5.15
avalanche,3.29,5.54,3.61
avenue,5.5,4.12,5.4
awed,6.7,5.74,5.3
baby,8.22,5.53,5.0
bake,6.17,5.1,5.49
bandage,4.54,3.9,4.52
bankrupt,2.0,6.21,3.27
banner,5.4,3.83,4.8
bar,6.42,5.0,5.47
barrel,5.05,3.36,4.89
basket,5.45,3.63,5.76
bastard,3.36,6.07,4.17
bath,7.33,4.16,6.41
bathroom,5.55,3.88,5.65
bathtub,6.69,4.36,5.76
beach,8.03,5.53,5.44
beast,4.23,5.57,4.89
beautiful,7.6,6.17,6.29
beauty,7.82,4.95,5.53
bed,7.51,3.61,6.88
bees,3.2,6.51,4.16
beggar,3.22,4.91,4.09
bench,4.61,3.59,4.68
bereavement,4.57,4.2,4.33
betray,1.68,7.24,4.92
beverage,6.83,5.21,5.63
bird,7.27,3.17,4.42
birthday,7.84,6.68,5.89
black,5.39,4.61,5.14
blackmail,2.95,6.03,3.54
bland,4.1,3.29,4.88
blase,4.89,3.94,4.57
blasphemy,3.75,4.93,4.75
bless,7.19,4.05,5.52
blind,3.05,4.39,3.28
bliss,6.95,4.41,6.12
blister,2.88,4.1,3.98
blond,6.43,5.07,5.74
bloody,2.9,6.41,3.96
blossom,7.26,5.03,5.53
blubber,3.52,4.57,3.86
blue,6.76,4.31,5.63
board,4.82,3.36,4.98
body,5.55,5.52,5.34
bold,6.8,5.6,6.67
bomb,2.1,7.15,4.54
book,5.72,4.17,5.3
bored,2.95,2.83,4.11
bottle,6.15,4.79,4.78
bouquet,7.02,5.46,6.15
bowl,5.33,3.47,4.69
boxer,5.51,5.12,5.1
boy,6.32,4.58,5.34
brave,7.15,6.15,7.22
breast,6.5,5.37,5.39
breeze,6.85,4.37,5.54
bride,7.34,5.55,5.74
bright,7.5,5.4,6.34
broken,3.05,5.43,4.14
brother,7.11,4.71,5.12
brutal,2.8,6.6,4.59
building,5.29,3.92,5.25
bullet,3.29,5.33,3.9
bunny,7.24,4.06,4.97
burdened,2.5,5.63,5.03
burial,2.05,5.08,3.55
burn,2.73,6.22,4.22
bus,4.51,3.55,4.84
busybody,5.17,4.84,5.45
butter,5.33,3.17,4.67
butterfly,7.17,3.47,4.65
cabinet,5.05,3.43,4.73
cake,7.26,5.0,5.16
cancer,1.5,6.42,3.42
candy,6.54,4.58,5.33
cane,4.0,4.2,4.27
cannon,4.9,4.71,5.17
capable,7.16,5.08,6.47
car,7.73,6.24,6.98
carcass,3.34,4.83,4.9
carefree,7.54,4.17,5.78
caress,7.84,5.14,5.83
cash,8.37,7.37,6.96
casino,6.81,6.51,5.12
cat,5.72,4.38,6.16
cell,3.82,4.08,4.12
cellar,4.32,4.39,4.66
cemetery,2.63,4.82,4.27
chair,5.08,3.15,4.56
champ,7.18,6.0,6.77
champion,8.44,5.85,6.5
chance,6.02,5.38,4.64
chaos,4.17,6.67,3.86
charm,6.77,5.16,5.57
cheer,8.1,6.12,6.0
child,7.08,5.55,5.1
chin,5.29,3.31,5.26
chocolate,6.88,5.29,5.18
christmas,7.8,6.27,5.37
church,6.28,4.34,5.0
circle,5.67,3.86,5.03
circus,7.3,5.97,5.39
city,6.03,5.24,5.74
cliff,4.67,6.25,4.35
clock,5.14,4.02,4.67
clothing,6.54,4.78,5.33
clouds,6.18,3.3,5.22
clumsy,4.0,5.18,3.86
coarse,4.55,4.21,5.0
coast,5.98,4.59,5.67
cockroach,2.81,6.11,4.74
coffin,2.56,5.03,4.08
coin,6.02,4.29,5.66
cold,4.02,5.19,4.69
color,7.02,4.73,6.17
column,5.17,3.62,4.81
comedy,8.37,5.85,5.44
comfort,7.07,3.93,5.7
computer,6.24,4.75,5.29
concentrate,5.2,4.65,4.97
confident,7.98,6.22,7.68
confused,3.21,6.03,4.24
consoled,5.78,4.53,4.44
contempt,3.85,5.28,5.13
contents,4.89,4.32,4.85
context,5.2,4.22,5.17
controlling,3.8,6.1,5.17
cook,6.16,4.44,5.14
cord,5.1,3.54,5.0
cork,5.22,3.8,4.98
corner,4.36,3.91,4.12
corpse,2.18,4.74,3.59
corridor,4.88,3.63,5.0
corrupt,3.32,4.67,4.64
cottage,6.45,3.39,5.39
couple,7.41,6.39,6.02
cow,5.57,3.49,5.32
coward,2.74,4.07,2.83
cozy,7.39,3.32,4.89
crash,2.31,6.95,3.44
crime,2.89,5.41,4.12
criminal,2.93,4.79,3.34
crisis,2.74,5.44,3.6
crown,6.58,4.28,6.06
crucify,2.23,6.47,3.74
crude,3.12,5.07,4.27
cruel,1.97,5.68,4.24
crushed,2.21,5.52,3.36
crutch,3.43,4.14,3.91
cuddle,7.72,4.4,5.85
cuisine,6.64,4.39,5.41
curious,6.08,5.82,5.42
curtains,4.83,3.67,5.05
custom,5.85,4.66,5.0
cut,3.64,5.0,4.7
cute,7.62,5.53,4.86
cyclone,3.6,6.36,4.89
dagger,3.38,6.14,4.52
damage,3.05,5.57,3.88
dancer,7.14,6.0,6.02
danger,2.95,7.32,3.59
dark,4.71,4.28,4.84
dawn,6.16,4.39,5.16
daylight,6.8,4.77,5.48
dazzle,7.29,6.33,5.62
dead,1.94,5.73,2.84
death,1.61,4.59,3.47
debt,2.22,5.68,3.02
deceit,2.9,5.68,3.95
decompose,3.2,4.65,4.02
decorate,6.93,5.14,6.05
defeated,2.34,5.09,3.11
defiant,4.26,6.1,5.77
deformed,2.41,4.07,3.95
delayed,3.07,5.62,3.64
delight,8.26,5.44,5.79
demon,2.11,6.76,4.89
dentist,4.02,5.73,3.8
depressed,1.83,4.72,2.74
depression,1.85,4.54,2.91
derelict,4.28,4.1,4.78
deserter,2.45,5.5,3.77
desire,7.69,7.35,6.49
despairing,2.43,5.68,3.43
despise,2.03,6.28,4.72
destroy,2.64,6.83,4.94
destruction,3.16,5.82,3.93
detached,3.86,4.26,3.63
detail,5.55,4.1,5.21
detest,2.17,6.06,5.83
devil,2.21,6.07,5.35
devoted,7.41,5.23,6.18
diamond,7.92,5.53,5.54
dignified,7.1,4.12,6.12
dinner,7.16,5.43,6.1
diploma,8.0,5.67,6.76
dirt,4.17,3.76,4.83
dirty,3.08,4.88,4.7
disappoint,2.39,4.92,3.29
disaster,1.73,6.33,3.52
discomfort,2.19,4.17,3.86
discouraged,3.0,4.53,3.61
disdainful,3.68,5.04,4.55
disgusted,2.45,5.42,4.34
disloyal,1.93,6.56,3.79
displeased,2.79,5.64,4.19
distressed,1.94,6.4,3.76
disturb,3.66,5.8,4.55
diver,6.45,5.04,5.04
divorce,2.22,6.33,3.26
doctor,5.2,5.86,4.89
dog,7.57,5.76,6.25
doll,6.09,4.24,4.61
dollar,7.47,6.07,6.33
door,5.13,3.8,4.69
dove,6.9,3.79,5.48
dreadful,2.26,5.84,4.1
dream,6.73,4.53,5.53
dreary,3.05,2.98,3.81
dress,6.41,4.05,5.0
drown,1.92,6.57,2.86
dummy,3.38,4.35,3.67
dump,3.21,4.12,3.83
dustpan,3.98,3.43,5.45
earth,7.15,4.24,5.61
easy,7.1,4.48,7.0
easygoing,7.2,4.3,5.25
eat,7.47,5.69,5.6
ecstasy,7.98,7.38,6.68
education,6.69,5.74,6.15
egg,5.29,3.76,4.49
elated,7.45,6.21,5.53
elbow,5.12,3.81,4.88
elegant,7.43,4.53,5.95
elevator,5.44,4.16,4.32
embarrassed,3.03,5.87,2.87
embattled,4.39,5.36,4.81
employment,6.47,5.28,5.73
engaged,8.0,6.77,6.49
engine,5.2,3.98,5.0
enjoyment,7.8,5.2,6.46
ennui,5.09,4.4,4.67
enraged,2.46,7.97,6.33
erotic,7.43,7.24,6.39
errand,4.58,3.85,4.78
event,6.21,5.1,5.52
evil,3.23,6.39,5.25
excellence,8.38,5.54,7.28
excitement,7.5,7.67,6.18
excuse,4.05,4.48,4.07
execution,2.37,5.71,4.11
exercise,7.13,6.84,5.68
fabric,5.3,4.14,5.03
face,6.39,5.04,5.67
failure,1.7,4.95,2.4
fall,4.09,4.7,4.0
FALSE,3.27,3.43,4.1
fame,7.93,6.55,6.85
family,7.65,4.8,6.0
famous,6.98,5.73,6.32
fantasy,7.41,5.14,6.43
farm,5.53,3.9,5.59
fascinate,7.34,5.83,6.15
fat,2.28,4.81,4.47
father,7.08,5.92,5.63
fatigued,3.28,2.64,3.78
fault,3.43,4.07,4.02
favor,6.46,4.54,5.67
fear,2.76,6.96,3.22
fearful,2.25,6.33,3.64
feeble,3.26,4.1,2.71
festive,7.3,6.58,5.77
fever,2.76,4.29,3.52
field,6.2,4.08,5.84
fight,3.76,7.15,5.27
filth,2.47,5.12,3.81
finger,5.29,3.78,5.05
fire,3.22,7.17,4.49
fireworks,7.55,6.67,5.51
fish,6.04,4.0,6.02
flabby,2.66,4.82,3.31
flag,6.02,4.6,5.5
flirt,7.52,6.91,6.24
flood,3.19,6.0,3.24
flower,6.64,4.0,4.98
foam,6.07,5.26,5.24
food,7.65,5.92,6.18
foot,5.02,3.27,4.98
fork,5.29,3.96,5.74
foul,2.81,4.93,4.51
fragrance,6.07,4.79,5.14
fraud,2.67,5.75,3.58
free,8.26,5.15,6.35
freedom,7.58,5.52,6.76
friend,7.74,5.74,6.74
friendly,8.43,5.11,5.92
frigid,3.5,4.75,4.27
frog,5.71,4.54,5.34
frustrated,2.48,5.61,3.5
fun,8.37,7.22,6.8
funeral,1.39,4.94,2.97
fungus,3.06,4.68,4.06
fur,4.51,4.18,4.32
game,6.98,5.89,5.7
gangrene,2.28,5.7,3.36
garbage,2.98,5.04,4.24
garden,6.71,4.39,6.02
garment,6.07,4.49,5.3
garter,6.22,5.47,5.82
gender,5.73,4.38,5.6
gentle,7.31,3.21,5.1
germs,2.86,4.49,3.79
gift,7.77,6.14,5.52
girl,6.87,4.29,5.8
glacier,5.5,4.24,4.92
glamour,6.76,4.68,5.76
glass,4.75,4.27,5.0
gloom,1.88,3.83,3.55
glory,7.55,6.02,6.85
god,8.15,5.95,5.88
gold,7.54,5.76,5.85
golfer,5.61,3.73,5.55
good,7.47,5.43,6.41
gossip,3.48,5.74,3.57
graduate,8.19,7.25,6.94
grass,6.12,4.14,5.44
grateful,7.37,4.58,6.18
greed,3.51,4.71,4.88
green,6.18,4.28,4.82
greet,7.0,5.27,5.95
grenade,3.6,5.7,4.29
grief,1.69,4.78,3.5
grime,3.37,3.98,4.47
grin,7.4,5.27,6.0
gripe,3.14,5.0,4.67
guillotine,2.48,6.56,4.64
guilty,2.63,6.04,3.09
gun,3.47,7.02,3.53
gymnast,6.35,5.02,5.31
habit,4.11,3.95,4.3
hairdryer,4.84,3.71,5.57
hairpin,5.26,3.27,5.05
hamburger,6.27,4.55,5.32
hammer,4.88,4.58,4.75
hand,5.95,4.4,5.35
handicap,3.29,3.81,4.0
handsome,7.93,5.95,5.19
haphazard,4.02,4.07,4.29
happy,8.21,6.49,6.63
hard,5.22,5.12,5.59
hardship,2.45,4.76,4.22
hat,5.46,4.1,5.39
hate,2.12,6.95,5.05
hatred,1.98,6.66,4.3
hawk,5.88,4.39,5.5
hay,5.24,3.95,5.37
headache,2.02,5.07,3.6
headlight,5.24,3.81,4.88
heal,7.09,4.77,5.79
health,6.81,5.13,5.83
heart,7.39,6.34,5.49
heaven,7.3,5.61,6.15
hell,2.24,5.38,3.24
helpless,2.2,5.34,2.27
heroin,4.36,5.11,4.8
hide,4.32,5.28,3.4
highway,5.92,5.16,5.66
hinder,3.81,4.12,4.21
history,5.24,3.93,4.83
hit,4.33,5.73,4.88
holiday,7.55,6.59,6.3
home,7.91,4.21,5.9
honest,7.7,5.32,6.24
honey,6.73,4.51,5.44
honor,7.66,5.9,6.7
